Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 2 (TSSig)
ATOWIP,0,-10.4,10.2,11.8,-63,20.6,22.3,Minimum,Minimum,Correct TS
ATRTAX10,0,-2.1,-10.5,17,-63,-8.3,19.1,Minimum,Minimum,Correct TS
ATRVNT,0,-5.1,16,12.9,-63,21.1,18,Minimum,Minimum,Correct TS
ATRYMA,0,-7.5,19.2,13.4,-63,26.7,20.9,Minimum,Minimum,Correct TS
ATUDAW,0,-1.8,-13.8,20.4,-63,-11.9,22.3,Minimum,Minimum,Correct TS
ATUHEC,0,-5.1,-16.3,14.2,-63,-11.1,19.4,Minimum,Minimum,Correct TS
ATUNEJ,0,-12.7,0.3,-15.7,-63,13,-3,Minimum,Minimum,Correct TS
ATUPAH,0,-18.2,5.2,4.2,-63,23.4,22.4,Minimum,Minimum,Correct TS
ATUWAN,0,-12.3,2.2,10.1,-63,14.5,22.3,Minimum,Minimum,Correct TS
ATUWUH01,0,-3.4,13.5,12.3,-63,16.9,15.7,Minimum,Minimum,Correct TS
ATUZOE01,0,-3.1,-6.7,17.8,-63,-3.6,20.9,Minimum,Minimum,Correct TS
ATZCBX,0,-9.8,19,12.6,-63,28.8,22.4,Minimum,Minimum,Correct TS
ATZTHD10,0,-13.5,20.2,13.7,-63,33.7,27.2,Minimum,Minimum,Correct TS
AURCPB,0,-16.3,-8.7,10.2,-63,7.6,26.5,Minimum,Minimum,Correct TS
AVAJAK,0,-2.2,18.6,12.4,-63,20.8,14.6,Minimum,Minimum,Correct TS
AVAJIR,0,-4.2,17.9,11.8,-63,22.1,16,Minimum,Minimum,Correct TS
AVERUF,0,-11.1,8.7,9,-63,19.8,20.1,Minimum,Minimum,Correct TS
AVIYAG,0,-14.1,12.9,11.9,-63,27,26,Minimum,Minimum,Correct TS
AVOWAL,0,-12.3,25.5,4.7,-63,37.7,17,Minimum,Minimum,Correct TS
AVULEI,0,-12.2,17.9,12.1,-63,30.1,24.3,Minimum,Minimum,Correct TS
AVUTUG03,0,-2.4,-10,20.3,-63,-7.6,22.7,Minimum,Minimum,Correct TS
AVUVIW,0,-1.9,-9.7,20.3,-63,-7.8,22.2,Minimum,Minimum,Correct TS
AVUXAS,0,-13.1,-8.5,13.1,-63,4.6,26.2,Minimum,Minimum,Correct TS
AVUXEW,0,-14.1,-11.5,12.6,-63,2.7,26.8,Minimum,Minimum,Correct TS
AWAZAA,0,-12.6,-14.7,7.9,-63,-2.1,20.4,Minimum,Minimum,Correct TS
AWAZUU,0,-11.8,-11.7,8.9,-63,0.1,20.7,Minimum,Minimum,Correct TS
AWAZUV,0,-20.1,15.9,11.9,-63,36,32.1,Minimum,Minimum,Correct TS
AWEFIT,0,-2.9,-7,17.2,-63,-4.1,20.1,Minimum,Minimum,Correct TS
AWELOE01,0,-9.2,-11.5,12.5,-63,-2.3,21.7,Minimum,Minimum,Correct TS
AWENIB02,0,-6.9,11,11.1,-63,17.9,18,Minimum,Minimum,Correct TS
AWEQAU,0,-6.6,-4.4,13.2,-63,2.2,19.8,Minimum,Minimum,Correct TS
AWEWUU,0,-17.9,-15.3,10.9,-63,2.6,28.8,Minimum,Minimum,Correct TS
AWIVIL,0,-6.7,-6,7.3,-63,0.7,14.1,Minimum,Minimum,Correct TS
AWUHEG,0,-13.7,-8.9,12,-63,4.8,25.7,Minimum,Minimum,Correct TS
AWUJUY,0,-15.4,-0.7,2.8,-63,14.7,18.2,Minimum,Minimum,Correct TS
AWULAG,0,-9.3,5.3,8.4,-63,14.6,17.7,Minimum,Minimum,Correct TS
AWULEK,0,-7.2,6.6,10.2,-63,13.8,17.4,Minimum,Minimum,Correct TS
AWUVEU,0,-9.3,-7.8,16.9,-63,1.5,26.2,Minimum,Minimum,Correct TS
AWUXUM,0,-8.6,9.8,8.5,-63,18.4,17,Minimum,Minimum,Correct TS
AXADUA,0,-19.3,-17.6,4.3,-63,1.7,23.6,Minimum,Minimum,Correct TS
AXALOB,0,-6.9,10.5,9.4,-63,17.5,16.3,Minimum,Minimum,Correct TS
AXARAS,0,-4,-10.8,9,-63,-6.8,13,Minimum,Minimum,Correct TS
AXASOH,0,-2.8,-5.5,17.5,-63,-2.7,20.3,Minimum,Minimum,Correct TS
AXCPRO,0,-14.4,-11.3,13.3,-63,3.1,27.8,Minimum,Minimum,Correct TS
AXEBAI,0,-15.2,-11.3,11.6,-63,3.9,26.8,Minimum,Minimum,Correct TS
AXEBUC,0,-5.4,-9.7,14,-63,-4.4,19.4,Minimum,Minimum,Correct TS
AXEJAQ,0,-1.3,16.5,14.2,-63,17.8,15.5,Minimum,Minimum,Correct TS
AXEKOD,0,-3.4,-10.9,18.2,-63,-7.5,21.5,Minimum,Minimum,Correct TS
AXEMAT,0,-13.5,-7.6,12.9,-63,5.9,26.4,Minimum,Minimum,Correct TS
AXEREC,0,-3,-9.4,13.6,-63,-6.4,16.6,Minimum,Minimum,Correct TS
AXETEE02,0,-11.3,6.2,5.4,-63,17.5,16.7,Minimum,Minimum,Correct TS
AXICUG,0,-0.1,-13.6,24.1,-63,-13.5,24.2,Minimum,Minimum,Correct TS
AXIHOG,0,-4.6,14.1,12.1,-63,18.7,16.7,Minimum,Minimum,Correct TS
AXOPEJ,0,-7.1,-12.8,13.6,-63,-5.7,20.6,Minimum,Minimum,Correct TS
AXOPIN,0,-8.1,-30,22.7,-63,-21.9,30.8,Minimum,Minimum,Correct TS
AXOQIP,0,-10.8,7.7,7.3,-63,18.5,18.1,Minimum,Minimum,Correct TS
AXOYER,0,26.4,14.9,14.3,-63,14.9,14.3,Minimum,Minimum,Correct TS
AXURIW,0,-6.1,-12.4,9.6,-63,-6.3,15.7,Minimum,Minimum,Correct TS
AYAGIR,0,-14.6,-36.3,5.8,-63,-21.7,20.4,Minimum,Minimum,Correct TS
AYANEV,0,-7.9,8,10.1,-63,15.9,18,Minimum,Minimum,Correct TS
AYATEZ,0,0.3,-0.3,14.9,-63,-0.3,14.9,Minimum,Minimum,Correct TS
AYAVUS,0,-9.9,17.8,13,-63,27.7,22.9,Minimum,Minimum,Correct TS
AYENOI,0,-1,18.5,16.8,-63,19.5,17.8,Minimum,Minimum,Correct TS
AYICIW,0,-0.3,0.5,19.3,-63,0.8,19.6,Minimum,Minimum,Correct TS
AYIKOJ,0,-16.6,-7.9,5.4,-63,8.7,22,Minimum,Minimum,Correct TS
AYILOL,0,-14.2,-4.4,12.9,-63,9.9,27.1,Minimum,Minimum,Correct TS
AYOGUS,0,-7,10.3,9.7,-63,17.4,16.7,Minimum,Minimum,Correct TS
AYOKUU,0,-15.6,-9.4,11.3,-63,6.3,26.9,Minimum,Minimum,Correct TS
AYOQEL,0,-12.5,-50.1,4.7,-63,-37.6,17.2,Minimum,Minimum,Correct TS
AYOZUK,0,-7.2,-8.7,10.4,-63,-1.5,17.6,Minimum,Minimum,Correct TS
AYUCUT,0,-7,-9.1,13.4,-63,-2.1,20.4,Minimum,Minimum,Correct TS
AYUDOO,0,-6.4,-3.7,13.8,-63,2.7,20.2,Minimum,Minimum,Correct TS
AYUFEG,0,-2.6,-10.3,21.4,-63,-7.7,24,Minimum,Minimum,Correct TS
AYUHOS,0,-3.5,-2.2,14,-63,1.3,17.5,Minimum,Minimum,Correct TS
AYUMUC,0,-8.6,8.3,11.6,-63,16.9,20.2,Minimum,Minimum,Correct TS
AYUNIS,0,-1.3,18.8,13.5,-63,20.1,14.8,Minimum,Minimum,Correct TS
AYUQAN,0,-2.6,-4.5,23.5,-63,-1.9,26.1,Minimum,Minimum,Correct TS
AYUVEX,0,-3.6,-9.2,17.6,-63,-5.6,21.3,Minimum,Minimum,Correct TS
AYUZEZ,0,-15.1,-5.1,6,-63,9.9,21.1,Minimum,Minimum,Correct TS
AYUZID,0,-12.5,7,7.7,-63,19.4,20.2,Minimum,Minimum,Correct TS
AZABAF,0,-7.2,13.9,9.4,-63,21.1,16.6,Minimum,Minimum,Correct TS
AZACEL,0,-6.7,-10.7,13.1,-63,-4.1,19.8,Minimum,Minimum,Correct TS
AZADEN20,0,-14.4,-21.4,6.2,-63,-7,20.6,Minimum,Minimum,Correct TS
AZAJAM,0,No Value,-13.4,21.2,-63,No Value,No Value,Minimum,Minimum,Correct TS
AZALIX,0,-5.3,10.3,11.2,-63,15.6,16.5,Minimum,Minimum,Correct TS
AZAMIY,0,-11.5,18.7,8.4,-63,30.2,19.9,Minimum,Minimum,Correct TS
AZECIR,0,-60.6,29.7,6.1,-63,90.3,66.8,Minimum,Minimum,Correct TS
AZEHOE,0,-2.8,-9.9,12.2,-63,-7.2,15,Minimum,Minimum,Correct TS
AZEJAS,0,-4.3,-5.5,12.6,-63,-1.2,16.9,Minimum,Minimum,Correct TS
AZELIB,0,-4.4,3.7,28,-63,8,32.4,Minimum,Minimum,Correct TS
AZEPIF,0,-9.4,10.8,8,-63,20.1,17.4,Minimum,Minimum,Correct TS
AZGUCM10,0,-24.2,2.9,0.2,-63,27.1,24.3,Minimum,Minimum,Correct TS
AZHPXB,0,-21.4,10.8,7.8,-63,32.2,29.2,Minimum,Minimum,Correct TS
AZIDCH,0,-15.4,-12847.3,9.8,-63,-12831.9,25.2,Minimum,Minimum,Correct TS
AZIJAW,0,-8.9,7.8,6,-63,16.7,14.9,Minimum,Minimum,Correct TS
AZILOM,0,-10,11.8,4.3,-63,21.7,14.3,Minimum,Minimum,Correct TS
AZOLOR,0,-13.4,10.2,9.3,-63,23.6,22.7,Minimum,Minimum,Correct TS
AZOROX,0,-13.5,-12,7.2,-63,1.5,20.7,Minimum,Minimum,Correct TS
AZOZUL,0,-8.9,-1.7,8.9,-63,7.2,17.8,Minimum,Minimum,Correct TS
AZTHYM10,0,-10.9,-6.7,11.4,-63,4.2,22.3,Minimum,Minimum,Correct TS
AZUDAB,0,-3.4,-4.5,20.7,-63,-1,24.1,Minimum,Minimum,Correct TS
AZUGUY,0,-12.5,-10,14,-63,2.5,26.5,Minimum,Minimum,Correct TS
AZUPER,0,-12.6,-12.8,8.3,-63,-0.3,20.8,Minimum,Minimum,Correct TS
AZUROD,0,-18.1,0.3,-1,-63,18.4,17.2,Minimum,Minimum,Correct TS
AZUYUR,0,-3,-4.9,12.1,-63,-1.9,15.1,Minimum,Minimum,Correct TS
AZUZAW,0,-1.3,-3.7,13.6,-63,-2.4,14.9,Minimum,Minimum,Correct TS
BABFUF,0,-0.6,-14.3,21.8,-63,-13.7,22.5,Minimum,Minimum,Correct TS
BABFUI,0,-15.8,6.3,9,-63,22.1,24.8,Minimum,Minimum,Correct TS
BABGAP,0,-12.8,-1.4,6.7,-63,11.4,19.5,Minimum,Minimum,Correct TS
BABXUA,0,-2.7,-8.3,17,-63,-5.6,19.7,Minimum,Minimum,Correct TS
BACJEX,0,-8.1,8.9,12.3,-63,17,20.3,Minimum,Minimum,Correct TS
BACJOG,0,-6.6,19.7,11.1,-63,26.3,17.7,Minimum,Minimum,Correct TS
BACQON,0,-12.4,-2.2,13.3,-63,10.2,25.7,Minimum,Minimum,Correct TS
BACTEF,0,-14.3,11.1,12.1,-63,25.4,26.4,Minimum,Minimum,Correct TS
BACTIJ,0,-13.4,15.2,13.5,-63,28.7,26.9,Minimum,Minimum,Correct TS
BACTOP,0,-11.6,-6.1,13.4,-63,5.5,25.1,Minimum,Minimum,Correct TS
BADCEO20,0,-5,-6.9,15.9,-63,-1.9,20.8,Minimum,Minimum,Correct TS
BADQEC,0,-0.9,0.6,16.7,-63,1.5,17.7,Minimum,Minimum,Correct TS
BADQEF,0,2.7,26.5,20.2,-63,26.5,20.2,Minimum,Minimum,Correct TS
BADRAC01,0,-5.6,3.3,13,-63,9,18.6,Minimum,Minimum,Correct TS
BAFFUN,0,-7.5,10.9,11.4,-63,18.4,18.9,Minimum,Minimum,Correct TS
BAFGUL,0,-9.3,8.9,12,-63,18.2,21.3,Minimum,Minimum,Correct TS
BAFLAX,0,-11.1,13.9,16,-63,24.9,27,Minimum,Minimum,Correct TS
BAFWOX,0,3.4,-13,21.6,-63,-13,21.6,Minimum,Minimum,Correct TS
BAGBEQ,0,-13.6,1.1,6.4,-63,14.8,20.1,Minimum,Minimum,Correct TS
BAGLUR,0,-3.2,21.1,12.6,-63,24.3,15.7,Minimum,Minimum,Correct TS
BAGQUY,0,-6.9,22.4,10.1,-63,29.2,17,Minimum,Minimum,Correct TS
BAGSAD,0,-10.7,9.2,8.4,-63,19.9,19.1,Minimum,Minimum,Correct TS
BAGXEM,0,-11.7,10.9,9.2,-63,22.6,21,Minimum,Minimum,Correct TS
BAHPAB,0,-4.3,-8.9,13.3,-63,-4.5,17.6,Minimum,Minimum,Correct TS
BAJSOX,0,-1.3,2.1,13.9,-63,3.4,15.2,Minimum,Minimum,Correct TS
BAKGOJ,0,-10.6,4.8,9.1,-63,15.4,19.7,Minimum,Minimum,Correct TS
BAKKON,0,-5.4,-8.3,20.4,-63,-2.9,25.8,Minimum,Minimum,Correct TS
BAKNOS,0,-0.3,-7.8,22.5,-63,-7.4,22.8,Minimum,Minimum,Correct TS
BALJEE,0,-10.6,14.7,13.9,-63,25.3,24.6,Minimum,Minimum,Correct TS
BALPUC,0,-18.1,2.3,-1.5,-63,20.4,16.6,Minimum,Minimum,Correct TS
BALSOW,0,-1.5,7.2,8.9,-63,8.7,10.4,Minimum,Minimum,Correct TS
BAMBEY,0,-7.7,8.5,10.6,-63,16.1,18.3,Minimum,Minimum,Correct TS
BAMCUP,0,-8.8,5.7,8.2,-63,14.5,17,Minimum,Minimum,Correct TS
BAMJIL,0,1.2,-18.1,20.8,-63,-18.1,20.8,Minimum,Minimum,Correct TS
BANFIG,0,-7,8.8,11.2,-63,15.8,18.2,Minimum,Minimum,Correct TS
BANJAB,0,-13.8,-7.8,12.4,-63,6.1,26.2,Minimum,Minimum,Correct TS
BANNOV,0,-9.1,1,11.6,-63,10.1,20.8,Minimum,Minimum,Correct TS
BANTAM,0,-9.8,15.5,12.2,-63,25.3,22.1,Minimum,Minimum,Correct TS
BANTEP10,0,-9.9,8.2,8.2,-63,18,18.1,Minimum,Minimum,Correct TS
BANVIY,0,-13.1,-10.2,13.2,-63,2.8,26.2,Minimum,Minimum,Correct TS
BANVUI,0,-12.7,-9.8,13.3,-63,2.9,26.1,Minimum,Minimum,Correct TS
BANVUK,0,-12.1,-7.1,-36704.8,-63,5,-36692.7,Minimum,Minimum,Correct TS
BANWUJ,0,-2.6,-5.2,13.3,-63,-2.6,15.9,Minimum,Minimum,Correct TS
BAPHUV,0,-4.5,15.3,13.3,-63,19.7,17.8,Minimum,Minimum,Correct TS
BAPRAL,0,-3.6,-7.9,19.3,-63,-4.4,22.8,Minimum,Minimum,Correct TS
BAPRAM,0,-5.3,-2.1,5.2,-63,3.2,10.5,Minimum,Minimum,Correct TS
BAPRUH,0,16.3,-7.4,39.5,-63,-7.4,39.5,Minimum,Minimum,Correct TS
BAPSES,0,-3.9,-9,15.6,-63,-5.1,19.5,Minimum,Minimum,Correct TS
BAQBEA01,0,-13.7,14.1,8.5,-63,27.8,22.2,Minimum,Minimum,Correct TS
BAQVEX,0,-4.4,11.7,12.2,-63,16.1,16.6,Minimum,Minimum,Correct TS
BAQVOH,0,-5.1,15.8,10.4,-63,20.8,15.5,Minimum,Minimum,Correct TS
BARKAJ,0,-13.8,-12.2,13.9,-63,1.6,27.7,Minimum,Minimum,Correct TS
BARKIO10,0,-38.5,0.1,30.3,-63,38.6,68.8,Minimum,Minimum,Correct TS
BARPAL,0,-3.2,0.4,14.2,-63,3.6,17.4,Minimum,Minimum,Correct TS
BASNOZ,0,-2.1,17.3,14.8,-63,19.5,16.9,Minimum,Minimum,Correct TS
BASPOC,0,-5,18.5,11.5,-63,23.5,16.5,Minimum,Minimum,Correct TS
BAVHUE,0,-5.6,12.8,12.9,-63,18.4,18.5,Minimum,Minimum,Correct TS
BAVQIB,0,0.3,-8.7,21.8,-63,-8.7,21.8,Minimum,Minimum,Correct TS
BAXCUY,0,-1.4,-14.4,11.2,-63,-13.1,12.6,Minimum,Minimum,Correct TS
BAXJUF,0,-2.8,0.8,12.2,-63,3.7,15,Minimum,Minimum,Correct TS
BAXNAP,0,-7.1,-15.9,22.9,-63,-8.8,30,Minimum,Minimum,Correct TS
BAXSIC,0,-1.8,-11.9,8.5,-63,-10.1,10.3,Minimum,Minimum,Correct TS
BAZFOX,0,-13.9,-3.9,10.6,-63,9.9,24.4,Minimum,Minimum,Correct TS
BAZHAO,0,-2.9,-9.3,14.3,-63,-6.4,17.2,Minimum,Minimum,Correct TS
BAZZUZ,0,-3.5,14.5,10.4,-63,18,13.9,Minimum,Minimum,Correct TS
BDDIGX,0,-0.2,-16.9,21.8,-63,-16.7,22,Minimum,Minimum,Correct TS
BEBFET,0,-9.6,6.1,4.8,-63,15.7,14.4,Minimum,Minimum,Correct TS
BEBFOF,0,-7.1,-10.2,12.6,-63,-3.1,19.7,Minimum,Minimum,Correct TS
BEBJUO,0,-3.9,-9.3,14.2,-63,-5.5,18.1,Minimum,Minimum,Correct TS
BEBKAV,0,-5.9,-52.8,8.8,-63,-46.9,14.7,Minimum,Minimum,Correct TS
BEBPAA,0,-13.7,-8.7,20.2,-63,5,33.9,Minimum,Minimum,Correct TS
BEBVAG,0,-1.7,-8,12.2,-63,-6.3,13.9,Minimum,Minimum,Correct TS
BEBZIR,0,-12.9,-24.8,8.6,-63,-11.9,21.5,Minimum,Minimum,Correct TS
BECGUL01,0,1.3,-15,21.6,-63,-15,21.6,Minimum,Minimum,Correct TS
BECLAW,0,-8,14.4,12.1,-63,22.4,20.1,Minimum,Minimum,Correct TS
BECVAI,0,-13.8,-11.8,11.8,-63,2,25.6,Minimum,Minimum,Correct TS
BECVEK,0,-7.9,-8.2,8.5,-63,-0.3,16.4,Minimum,Minimum,Correct TS
BECVIQ,0,-14.3,-10.7,13.1,-63,3.6,27.5,Minimum,Minimum,Correct TS
BECWAJ,0,-5.9,7.1,10.2,-63,13,16.1,Minimum,Minimum,Correct TS
BECXEO,0,-12.3,6.8,6.6,-63,19.1,18.9,Minimum,Minimum,Correct TS
BECXIS,0,-10.7,-7.3,11.9,-63,3.3,22.6,Minimum,Minimum,Correct TS
BEDGIA,0,-16.5,4.6,4.5,-63,21.1,21,Minimum,Minimum,Correct TS
BEDTAG,0,-5.9,14.2,9.9,-63,20,15.7,Minimum,Minimum,Correct TS
BEFSOV,0,-14,-10.9,12.9,-63,3.1,27,Minimum,Minimum,Correct TS
BEGLAA,0,-8.3,7.3,9.1,-63,15.5,17.4,Minimum,Minimum,Correct TS
BEGPIO,0,-14.1,-12.2,12,-63,1.9,26.1,Minimum,Minimum,Correct TS
BEGRUA,0,-13.6,17.4,8.8,-63,31,22.4,Minimum,Minimum,Correct TS
BEGSEL,0,-14.5,18.3,8,-63,32.8,22.5,Minimum,Minimum,Correct TS
BEGVUF,0,-5.4,-4,12.6,-63,1.4,18,Minimum,Minimum,Correct TS
BEHKEF,0,-5.1,-8.7,13.3,-63,-3.5,18.4,Minimum,Minimum,Correct TS
BEHZOD,0,-7.5,-25.5,11.3,-63,-18,18.8,Minimum,Minimum,Correct TS
BEHZUM,0,-13.5,-10.1,13.7,-63,3.4,27.2,Minimum,Minimum,Correct TS
BEJHII,0,-6.9,10.6,11.9,-63,17.6,18.8,Minimum,Minimum,Correct TS
BEJLUX,0,-6,8.7,13.6,-63,14.6,19.5,Minimum,Minimum,Correct TS
BEJMAE,0,-6,10.3,12.4,-63,16.4,18.4,Minimum,Minimum,Correct TS
BEJTAL,0,6.3,-9.1,27.6,-63,-9.1,27.6,Minimum,Minimum,Correct TS
BEJXEU01,0,-14.5,4.1,5.7,-63,18.6,20.2,Minimum,Minimum,Correct TS
BEJZEV12,0,-7.8,11.6,10.2,-63,19.4,18,Minimum,Minimum,Correct TS
BEKKIO,0,-16.2,10.9,6.4,-63,27.1,22.5,Minimum,Minimum,Correct TS
BEKKOU,0,-15.6,13.1,12.1,-63,28.7,27.7,Minimum,Minimum,Correct TS
BEKLIP,0,-10.4,5.4,10.2,-63,15.8,20.6,Minimum,Minimum,Correct TS
BEKQEQ,0,-8.2,-1.2,13.8,-63,7,22,Minimum,Minimum,Correct TS
BEKVIW,0,-4.7,-5.8,11.6,-63,-1.1,16.4,Minimum,Minimum,Correct TS
BELWIA01,0,-6.7,0,-4606.4,-63,6.7,-4599.7,Minimum,Minimum,Correct TS
BEMNEM,0,-23.2,4.1,11.5,-63,27.3,34.7,Minimum,Minimum,Correct TS
BEMSAP,0,-4.9,-13.2,13.1,-63,-8.3,18,Minimum,Minimum,Correct TS
BENBUU,0,-3.1,22.4,13.2,-63,25.6,16.3,Minimum,Minimum,Correct TS
BENGEJ,0,-1.5,0.9,17.2,-63,2.5,18.7,Minimum,Minimum,Correct TS
BENGOT,0,-2,23.9,16.2,-63,25.9,18.2,Minimum,Minimum,Correct TS
BENHEK,0,-15.7,-3.2,4.8,-63,12.5,20.4,Minimum,Minimum,Correct TS
BENMEO,0,-3.1,19.6,11.5,-63,22.7,14.6,Minimum,Minimum,Correct TS
BENRAQ,0,-2.3,13.9,13.9,-63,16.1,16.2,Minimum,Minimum,Correct TS
BENRIY,0,-4.7,13.6,14,-63,18.3,18.7,Minimum,Minimum,Correct TS
BEPCAB,0,-5.6,14.6,13.7,-63,20.1,19.2,Minimum,Minimum,Correct TS
BEPDOP,0,-13.5,13.3,13.3,-63,26.8,26.8,Minimum,Minimum,Correct TS
BEPNES,0,-8.4,37.2,7.3,-63,45.6,15.7,Minimum,Minimum,Correct TS
BEPRAP,0,-12.7,18.4,6.9,-63,31.1,19.6,Minimum,Minimum,Correct TS
BEPYAC,0,-14,-12.9,11.3,-63,1.1,25.3,Minimum,Minimum,Correct TS
BEQGEJ,0,-14.1,-9.9,12,-63,4.2,26.1,Minimum,Minimum,Correct TS
BEQXIE,0,-8.6,10.1,8.6,-63,18.7,17.2,Minimum,Minimum,Correct TS
BERBOP01,0,-10.3,19.1,11.1,-63,29.4,21.4,Minimum,Minimum,Correct TS
BERFEM,0,-12.1,-4.4,11.8,-63,7.7,24,Minimum,Minimum,Correct TS
BERHUC,0,-2.5,-9.3,14.8,-63,-6.8,17.3,Minimum,Minimum,Correct TS
BERMYA,0,-14.4,13.1,5.5,-63,27.4,19.8,Minimum,Minimum,Correct TS
BERPAP,0,-14.4,-5.4,12.4,-63,9,26.8,Minimum,Minimum,Correct TS
BESGEL,0,-3.6,14.6,13.5,-63,18.2,17.1,Minimum,Minimum,Correct TS
BESLIW,0,-6.4,13.7,11.2,-63,20,17.6,Minimum,Minimum,Correct TS
BESLOC,0,-0.2,0.4,12.5,-63,0.7,12.7,Minimum,Minimum,Correct TS
BESZAC,0,0.7,-9.3,21.1,-63,-9.3,21.1,Minimum,Minimum,Correct TS
BETFAH,0,-17.8,17.3,14.3,-63,35.1,32.1,Minimum,Minimum,Correct TS
BETJIV,0,-9,7.1,8.1,-63,16,17,Minimum,Minimum,Correct TS
BETWUV,0,-12.8,-14.9,6.7,-63,-2.1,19.5,Minimum,Minimum,Correct TS
BETXON,0,0.2,-1.1,15,-63,-1.1,15,Minimum,Minimum,Correct TS
BETYIK,0,-13.7,-8.8,12.9,-63,4.9,26.6,Minimum,Minimum,Correct TS
BEVLOD,0,9.4,7.6,13.4,-63,7.6,13.4,Minimum,Minimum,Correct TS
BEWFOZ,0,-8,-11.4,12.4,-63,-3.4,20.3,Minimum,Minimum,Correct TS
BEWLIB,0,-11.6,-2.1,7.5,-63,9.5,19.1,Minimum,Minimum,Correct TS
BEWLIY10,0,-13.6,9.3,7,-63,22.9,20.6,Minimum,Minimum,Correct TS
BEWLUN,0,-4.2,20.3,15.3,-63,24.6,19.6,Minimum,Minimum,Correct TS
BEXTUW,0,-8.5,5.6,10.9,-63,14.1,19.4,Minimum,Minimum,Correct TS
BEYLEZ,0,-14.6,18.7,39.1,-63,33.3,53.6,Minimum,Minimum,Correct TS
BEYMIE,0,-11.1,10.2,7.9,-63,21.4,19,Minimum,Minimum,Correct TS
BEYPOL,0,-10.1,19.4,13.2,-63,29.5,23.3,Minimum,Minimum,Correct TS
BEYTUV,0,-9.7,-6.3,12.3,-63,3.5,22,Minimum,Minimum,Correct TS
BEYWAD,0,-18.4,-4.4,2.8,-63,14,21.2,Minimum,Minimum,Correct TS
BEZGES,0,-7.6,0.4,25,-63,7.9,32.6,Minimum,Minimum,Correct TS
BEZTOP,0,-15.8,-10.9,11.4,-63,4.9,27.2,Minimum,Minimum,Correct TS
BIBFAW,0,-6.3,No Value,11.2,-63,No Value,17.5,Minimum,Minimum,Correct TS
BIBWAK,0,-15.2,-4.5,6.1,-63,10.7,21.3,Minimum,Minimum,Correct TS
BIBXAO,0,-6.3,13.5,14.3,-63,19.8,20.6,Minimum,Minimum,Correct TS
BIBXES,0,-6.4,13.3,14,-63,19.7,20.3,Minimum,Minimum,Correct TS
BIBZIW,0,-2.1,-13.5,16.7,-63,-11.4,18.8,Minimum,Minimum,Correct TS
BICGUS,0,-6.4,25.6,10,-63,31.9,16.4,Minimum,Minimum,Correct TS
BICLUW,0,-4.2,16.7,9.5,-63,20.9,13.7,Minimum,Minimum,Correct TS
BICMAD,0,-12.9,15.9,9.7,-63,28.8,22.7,Minimum,Minimum,Correct TS
BICMOS,0,-3.7,15.9,12.6,-63,19.6,16.2,Minimum,Minimum,Correct TS
BICMUY,0,-3.1,15.8,14.4,-63,18.9,17.5,Minimum,Minimum,Correct TS
BICPAF,0,-4.2,14.6,14.5,-63,18.8,18.7,Minimum,Minimum,Correct TS
BICXAP,0,-6.9,20.2,13.8,-63,27.2,20.7,Minimum,Minimum,Correct TS
BICYUK,0,-3.8,-8,11.6,-63,-4.2,15.4,Minimum,Minimum,Correct TS
BIDKAB,0,-11.8,14.8,13.8,-63,26.6,25.6,Minimum,Minimum,Correct TS
BIFBOH,0,-0.2,-8,19.2,-63,-7.8,19.4,Minimum,Minimum,Correct TS
BIFBUN,0,-0.9,-13.8,20.8,-63,-12.9,21.7,Minimum,Minimum,Correct TS
BIFRUG,0,-6.1,17.4,13.3,-63,23.5,19.4,Minimum,Minimum,Correct TS
BIFTUH,0,-12.5,-11.2,14.2,-63,1.3,26.7,Minimum,Minimum,Correct TS
BIGCEZ,0,-3.4,-0.9,12.1,-63,2.5,15.5,Minimum,Minimum,Correct TS
BIGJIK,0,-3.9,-7.5,16.3,-63,-3.6,20.2,Minimum,Minimum,Correct TS
BIGSIT,0,-13.4,-9.5,12.6,-63,3.9,26,Minimum,Minimum,Correct TS
BIHGAB,0,-11,-7,13.3,-63,4,24.3,Minimum,Minimum,Correct TS
BIHJUA,0,-6.8,15.1,12,-63,21.9,18.8,Minimum,Minimum,Correct TS
BIHKAH,0,-7.1,15.2,11.6,-63,22.2,18.7,Minimum,Minimum,Correct TS
BIHKEI01,0,-0.8,-2.7,14.5,-63,-1.8,15.3,Minimum,Minimum,Correct TS
BIHZOI,0,-4.2,-7.6,13.5,-63,-3.5,17.6,Minimum,Minimum,Correct TS
BIJFOR,0,-0.4,14.1,9.7,-63,14.6,10.2,Minimum,Minimum,Correct TS
BIJJIP,0,-6.4,13.4,11.8,-63,19.8,18.2,Minimum,Minimum,Correct TS
BIJPOB,0,-24.3,-2,11.2,-63,22.3,35.5,Minimum,Minimum,Correct TS
BIKMIR,0,-3.9,-12.2,15.5,-63,-8.3,19.4,Minimum,Minimum,Correct TS
