Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
ERESOJ,0,-14.1,-11.4,13.6,-63,2.8,27.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EREVOM,0,-4.5,-10.8,15.4,-63,-6.2,19.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EREVUS,0,-3,-6.7,15.9,-63,-3.7,18.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EREXAA,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect TS,Correct TS
ERFIMP,0,-57.3,-64.3,-45.4,-63,-7,12,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ERISOO,0,-15.7,-1,7,-63,14.7,22.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ERIWIM01,0,-7.7,-9.5,13.8,-63,-1.8,21.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EROFEX,0,-10.4,5.7,7.7,-63,16.1,18.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EROGAU,0,-10.6,5.7,8.3,-63,16.3,19,Minimum,Minimum,Correct TS,Correct TS
EROHAV,0,-6.7,-10,10.5,-63,-3.3,17.2,Minimum,Not Minimum,Incorrect TS,Correct TS
EROLIH,0,-14.4,-13.4,10.8,-63,1,25.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EROMAA01,0,-7,18.4,14,-63,25.4,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EROYAN,0,-13.4,-9.6,12.9,-63,3.8,26.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EROYER,0,-12.5,-10.9,12.5,-63,1.6,25,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ERUCOK,0,-9,-10,9.3,-63,-1,18.3,Not Minimum,Minimum,Incorrect TS,Correct TS
ERUGEE,0,-7.9,8.1,12,-63,16,19.9,Minimum,Minimum,Correct TS,Correct TS
ESABIJ,0,-15,-12.4,13.1,-63,2.6,28.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESACUY,0,5.7,-6.4,22.6,-63,-6.4,22.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESAGIQ,0,-2.3,14.3,12,-63,16.6,14.3,Minimum,Not Minimum,Correct TS,Correct TS
ESAQUK,0,-3.6,-3.7,14.8,-63,-0.1,18.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESASUO,0,-6.9,18.1,12.2,-63,25,19.1,Minimum,Minimum,Correct TS,Correct TS
ESAVIF,0,-5,7.7,8.4,-63,12.8,13.4,Minimum,Minimum,Correct TS,Correct TS
ESCULT,0,-3,-7.5,17.7,-63,-4.5,20.8,Minimum,Minimum,Incorrect TS,Correct TS
ESEFUE,0,-0.3,-6.1,16.4,-63,-5.8,16.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESEGOA,0,-8.4,-9.2,12.7,-63,-0.8,21.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESERUP,0,-6.1,6.6,20.1,-63,12.7,26.2,Minimum,Minimum,Correct TS,Correct TS
ESIDOZ,0,-13.1,-7.1,15,-63,6,28,Minimum,Minimum,Incorrect TS,Correct TS
ESILOJ,0,-7.8,22.9,25.7,-63,30.7,33.5,Not Minimum,Minimum,Correct TS,Correct TS
ESIMEA,0,-6.2,20.4,36.1,-63,26.5,42.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESIVIN,0,-4.9,-2,12.3,-63,2.9,17.2,Minimum,Minimum,Incorrect TS,Correct TS
ESIYOU,0,-11.6,9.5,5.9,-63,21.1,17.5,Minimum,Minimum,Correct TS,Correct TS
ESMINM,0,-14.9,18.4,9.9,-63,33.4,24.9,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ESOMEE,0,-3.1,-9.2,12.9,-63,-6,16.1,Minimum,Minimum,Incorrect TS,Correct TS
ESOTIR,0,-6.6,11.1,18.9,-63,17.7,25.5,Minimum,Minimum,Incorrect TS,Correct TS
ESOTUD,0,-9.5,19.1,8.2,-63,28.7,17.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESOZAN,0,-6.2,19.8,9.8,-63,26,16,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ESOZER,0,-6.8,6.8,8.7,-63,13.6,15.6,Not Minimum,Not Minimum,Correct TS,Correct TS
ESTRIO,0,788,-13.7,21.5,-63,-13.7,21.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ESUFON,0,-5.6,20.2,20.6,-63,25.7,26.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ESUQEO,0,-1.4,-5.8,16.6,-63,-4.4,18,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ETADIN,0,-3.4,-12,14.3,-63,-8.6,17.6,Minimum,Minimum,Incorrect TS,Correct TS
ETADOT,0,3.1,-10,13.1,-63,-10,13.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETANAQ,0,-7.2,7.8,9.5,-63,15,16.7,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ETATEA,0,-0.7,-13.4,20.9,-63,-12.7,21.6,Minimum,Minimum,Incorrect TS,Correct TS
ETAZAB,0,-1.8,-5,19,-63,-3.3,20.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETCYTC,0,-0.2,-10.6,18.3,-63,-10.4,18.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETEZOS,0,-10.9,-1.5,10.6,-63,9.4,21.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ETIGEV01,0,-12.5,7.7,10.8,-63,20.2,23.3,Minimum,Minimum,Correct TS,Correct TS
ETIGOD,0,-7.5,6.2,8.5,-63,13.7,16,Minimum,Minimum,Correct TS,Correct TS
ETIMEZ,0,-8.4,-6.8,9.2,-63,1.6,17.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETINUR,0,-4222017,-4222025.3,-4221999,-63,-8.3,18,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETISOP,0,-3.6,-0.6,24.7,-63,2.9,28.2,Minimum,Minimum,Incorrect TS,Correct TS
ETISUV,0,-7.8,-9.1,13.6,-63,-1.4,21.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETIYAH,0,-36.6,-51.1,-16.3,-63,-14.5,20.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETOMAB,0,-13,-2.7,-1.7,-63,10.3,11.3,Minimum,Minimum,Correct TS,Incorrect TS
ETONIM,0,-2.4,-8.7,17.2,-63,-6.2,19.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ETYTAC,0,-13.5,-8.5,14.4,-63,5,27.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVABOT,0,-12.7,-10.8,13.6,-63,1.9,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVACUA,0,-14.9,-9.8,11.3,-63,5.1,26.2,Minimum,Minimum,Incorrect TS,Correct TS
EVAGEP,0,-26.7,0.1,16.2,-63,26.8,42.9,Minimum,Minimum,Incorrect TS,Correct TS
EVAJER,0,0.3,0.5,16.6,-63,0.5,16.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVAMEU,0,-11.7,7,5.4,-63,18.8,17.2,Minimum,Minimum,Correct TS,Correct TS
EVAWAA,0,-7.7,19.6,8.4,-63,27.3,16.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EVAWEE,0,-18.7,-6.3,-7.4,-63,12.4,11.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EVAXOP,0,-3.3,-6.5,12.3,-63,-3.2,15.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVEBUD,0,-3.5,4.1,14.8,-63,7.6,18.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVEDEP,0,-5.6,14.8,14.6,-63,20.4,20.2,Not Minimum,Minimum,Correct TS,Correct TS
EVEKAS,0,-7.4,17.3,13.4,-63,24.7,20.8,Minimum,Minimum,Incorrect TS,Correct TS
EVEMAU,0,-19.8,-33.8,8.3,-63,-13.9,28.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVENIC,0,-5.3,13.3,10.3,-63,18.6,15.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVERED02,0,-5,-3.3,14.5,-63,1.8,19.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVEVUX,0,-8.2,3.7,9.8,-63,11.9,18,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIBER,0,-18.8,-6.4,-6.2,-63,12.3,12.5,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EVIBUH,0,-8.2,16.8,13.5,-63,25.1,21.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIGEW,0,-15,-13.7,11.9,-63,1.3,26.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIGIA,0,-5.7,5,10.7,-63,10.7,16.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIGIZ,0,-14.1,-3,6.7,-63,11.1,20.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIGUL,0,-3.6,17.4,11.8,-63,21,15.4,Minimum,Minimum,Correct TS,Correct TS
EVIJUO,0,-3.5,-8.5,13.8,-63,-5,17.3,Minimum,Minimum,Incorrect TS,Correct TS
EVILIF,0,-2.7,-8.9,13.4,-63,-6.3,16.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIMAX,0,-11.4,9.2,7.1,-63,20.6,18.6,Minimum,Not Minimum,Correct TS,Correct TS
EVIMEB,0,-5124.4,-5127.3,-5103,-63,-2.8,21.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIMIF,0,-7.3,-9.8,13.2,-63,-2.5,20.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIQAB,0,-10.7,16.1,12.2,-63,26.8,22.9,Minimum,Minimum,Correct TS,Correct TS
EVIREI,0,-3.4,-4.2,12.2,-63,-0.8,15.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVITAE,0,-5.1,15.5,11.9,-63,20.5,16.9,Minimum,Minimum,Correct TS,Correct TS
EVIWAJ,0,-156.2,-203.1,-175,-63,-46.9,-18.9,Not Minimum,Not Minimum,Incorrect TS,Correct TS
EVIWEM,0,-75.7,-53.5,-53.8,-63,22.1,21.9,Not Minimum,Not Minimum,Correct TS,Correct TS
EVIWIQ,0,-4.3,-10.1,13.6,-63,-5.8,17.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVIXEM,0,-7.2,17.6,11.3,-63,24.8,18.5,Not Minimum,Not Minimum,Correct TS,Correct TS
EVIXIR,0,-3.7,-9.2,11,-63,-5.6,14.7,Minimum,Minimum,Incorrect TS,Correct TS
EVIYOY,0,-16.2,-3.8,-6.6,-63,12.4,9.6,Minimum,Not Minimum,Incorrect TS,Incorrect TS
EVOBAT,0,-5.7,10.7,9.8,-63,16.4,15.5,Minimum,Not Minimum,Correct TS,Correct TS
EVOCOI,0,-12.4,-3.6,7.3,-63,8.9,19.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVODAV,0,-14.2,10.1,10.8,-63,24.3,25,Minimum,Minimum,Correct TS,Correct TS
EVODID,0,-18.3,-42.2,5.4,-63,-24,23.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVOFAW,0,-13.4,-9.3,12.8,-63,4.1,26.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVOGAY,0,-13.9,70.6,4.7,-63,84.6,18.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVOJIJ,0,-7.4,12.9,15.6,-63,20.3,23.1,Minimum,Minimum,Correct TS,Correct TS
EVOPEL,0,-8.8,-11.2,14.4,-63,-2.4,23.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVOQOV,0,-16.9,6.6,6.1,-63,23.6,23,Minimum,Not Minimum,Correct TS,Correct TS
EVOQUB,0,-7.9,22.7,9.9,-63,30.7,17.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVOSIS,0,-35.9,193.7,3,-63,229.6,38.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EVOXOE,0,-39.2,1.4,5.5,-63,40.5,44.7,Minimum,Minimum,Correct TS,Correct TS
EVUKIP,0,-0.1,-9.7,22.7,-63,-9.6,22.7,Minimum,Not Minimum,Incorrect TS,Correct TS
EVULEN,0,-1.7,-12.7,15.9,-63,-11,17.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EVUXEA,0,-6.4,2.4,13.3,-63,8.8,19.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVUYAX,0,-6.1,15.6,13,-63,21.7,19.1,Minimum,Minimum,Correct TS,Correct TS
EVUYEB,0,-6.8,16.8,10.4,-63,23.6,17.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EVUYIF,0,-6,14.3,10.7,-63,20.3,16.7,Minimum,Minimum,Correct TS,Correct TS
EWADAI01,0,-23.6,-1.3,2.4,-63,22.3,26,Minimum,Minimum,Correct TS,Correct TS
EWADOX,0,-6.8,6.9,16.4,-63,13.7,23.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EWAMEW,0,-185.3,-191.8,-65.5,-63,-6.6,119.8,Not Minimum,Minimum,Incorrect TS,Calc Fail
EWATUS,0,-12.1,3.2,8.4,-63,15.3,20.5,Not Minimum,Minimum,Correct TS,Correct TS
EWAXAD,0,-351.6,-368.6,No Value,-63,-17.1,No Value,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
EWEKAS,0,-7.1,14,9.5,-63,21.1,16.6,Not Minimum,Minimum,Correct TS,Correct TS
EWEVIM02,0,-8.7,11.6,12.3,-63,20.3,21,Minimum,Minimum,Correct TS,Correct TS
EWINON,0,-13.7,-11.3,11.8,-63,2.4,25.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EWIQOS,0,-2.3,-6.6,13.4,-63,-4.2,15.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EWIQUY,0,-2.4,-8.9,12.5,-63,-6.5,14.9,Minimum,Minimum,Incorrect TS,Correct TS
EWIREJ,0,-10,18.3,12.2,-63,28.3,22.1,Minimum,Minimum,Correct TS,Correct TS
EWITAH,0,-4.3,-5.6,12.5,-63,-1.3,16.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EWITEL,0,-1.7,-6.5,13.2,-63,-4.8,14.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EWITOV,0,-2198.2,-2206.7,-2175.7,-63,-8.5,22.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EWITUB,0,-2.6,10.8,12.7,-63,13.4,15.2,Minimum,Not Minimum,Correct TS,Correct TS
EWIVEN,0,-5.2,11.5,11.1,-63,16.7,16.3,Not Minimum,Minimum,Correct TS,Correct TS
EWOCUP,0,-12.3,-6.2,8,-63,6.1,20.3,Minimum,Minimum,Incorrect TS,Correct TS
EWOFUR,0,-5.7,12.5,10.5,-63,18.2,16.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EWOSOZ,0,-0.7,-14.3,19.9,-63,-13.6,20.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EWOVAN,0,9.5,-2.9,18,-63,-2.9,18,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EWOZOF,0,-15.7,-9.4,14,-63,6.3,29.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EWOZUL,0,-3.1,-3,16,-63,0.1,19.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EWUFOR,0,-2,21.3,13.1,-63,23.3,15.1,Minimum,Minimum,Correct TS,Correct TS
EWUVAU,0,-17.7,-4.4,-5.3,-63,13.3,12.4,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EXAGOB,0,-4,-10.6,16,-63,-6.7,20,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EXAMUM02,0,-13.7,-10.4,13.2,-63,3.3,26.9,Minimum,Minimum,Incorrect TS,Correct TS
EXBISX,0,-17.2,-5.6,-6.8,-63,11.6,10.4,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EXEVOS,0,0.9,-7,20.3,-63,-7,20.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EXIBOD,0,-13.8,-11.3,12.6,-63,2.5,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EXICAP,0,-8,9.4,8.7,-63,17.4,16.7,Minimum,Not Minimum,Correct TS,Correct TS
EXICUJ,0,-10.4,17.2,9.5,-63,27.6,19.9,Minimum,Not Minimum,Correct TS,Correct TS
EXIFEW,0,-1.5,21.8,13.2,-63,23.3,14.7,Minimum,Not Minimum,Correct TS,Correct TS
EXIFEX,0,-27.1,-17.9,-16.9,-63,9.2,10.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EXILIH,0,-11,2.5,6.8,-63,13.6,17.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EXILON,0,-3.9,-11.7,13.9,-63,-7.9,17.7,Minimum,Minimum,Incorrect TS,Correct TS
EXIMOO,0,-14.2,-12.7,11.8,-63,1.5,26,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EXIQOS,0,-11,-2.1,9.1,-63,8.8,20.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EXIZIV,0,-12.8,-1.8,2.8,-63,11,15.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EXIZUH,0,-6.3,12.5,11.7,-63,18.8,18.1,Minimum,Minimum,Correct TS,Correct TS
EXOFAY,0,-12.6,-8.2,16.8,-63,4.4,29.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EXOPIR,0,-7.9,8.8,8.6,-63,16.7,16.5,Minimum,Not Minimum,Correct TS,Correct TS
EXUCIJ,0,-2.8,-12.6,13.3,-63,-9.8,16.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EXULIS,0,-2.8,14.8,15.7,-63,17.6,18.5,Minimum,Minimum,Correct TS,Correct TS
EXUVEZ,0,-14.4,-11.7,12.3,-63,2.7,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EXUVUQ,0,-7.1,-14.2,10.9,-63,-7.2,17.9,Minimum,Minimum,Correct TS,Correct TS
EYAFEQ,0,-2.8,-1.4,16,-63,1.4,18.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EYAHUH,0,-1.3,-3,16.5,-63,-1.7,17.8,Minimum,Minimum,Incorrect TS,Correct TS
EYAVAD,0,-0.2,16.8,15.2,-63,17.1,15.5,Minimum,Minimum,Correct TS,Correct TS
EYAWUX,0,-12.7,-43.8,8.5,-63,-31.1,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EYEKOK,0,-6.1,10.3,10.2,-63,16.4,16.3,Minimum,Not Minimum,Correct TS,Correct TS
EYETOT,0,2.9,-5.2,21.7,-63,-5.2,21.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EYEZEP,0,-29.3,-17.4,-15.9,-63,11.8,13.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EYIGAV,0,-3.8,2,12.4,-63,5.7,16.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EYIJUT,0,-9.5,3.9,7.9,-63,13.4,17.4,Minimum,Not Minimum,Correct TS,Correct TS
EYIKON,0,-24.2,-10.4,-11.9,-63,13.9,12.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EYIKUU,0,377.6,-3.9,13.1,-63,-3.9,13.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EYIPUZ,0,-10.9,10.2,10.4,-63,21.1,21.3,Minimum,Minimum,Correct TS,Correct TS
EYIVEN,0,-217.1,-217.9,-192.8,-63,-0.8,24.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EYIXAL,0,-8.4,10.3,9.4,-63,18.7,17.9,Minimum,Minimum,Correct TS,Correct TS
EYIXOB,0,-1.7,14.4,12.3,-63,16.1,14.1,Minimum,Not Minimum,Correct TS,Correct TS
EYOBAV,0,-4.4,-9.6,21.5,-63,-5.2,26,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EYOCOK,0,-2.5,-5.2,14.8,-63,-2.7,17.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EYOFUT,0,-10.7,11.1,9.2,-63,21.8,19.9,Minimum,Minimum,Correct TS,Correct TS
EYOGAA,0,-8.4,12,10.6,-63,20.4,19,Minimum,Minimum,Correct TS,Correct TS
EYOGAC,0,-4.2,15.8,13,-63,20,17.2,Minimum,Minimum,Correct TS,Correct TS
EYOGEE,0,-2.3,-3.6,15.7,-63,-1.3,18.1,Minimum,Minimum,Incorrect TS,Correct TS
EYOJUZ,0,-12.4,-13.9,9.3,-63,-1.5,21.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EYOMAG,0,-0.2,-0.8,25.2,-63,-0.5,25.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EYOZUN,0,-2.9,-11.5,15.1,-63,-8.6,18,Minimum,Minimum,Incorrect TS,Correct TS
EYUFEJ,0,-22.3,-10,-12.7,-63,12.3,9.6,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EYUJEP,0,0.6,-12.9,23.1,-63,-12.9,23.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EZACEN,0,-7,5.4,10.7,-63,12.4,17.6,Minimum,Not Minimum,Incorrect TS,Correct TS
EZAFAM,0,-2,20,15.4,-63,22,17.4,Minimum,Minimum,Correct TS,Correct TS
EZAFEQ,0,-6.8,19.8,11.7,-63,26.7,18.5,Minimum,Minimum,Correct TS,Correct TS
EZAKOG,0,-9.5,13.5,13.1,-63,23,22.6,Minimum,Minimum,Correct TS,Correct TS
EZAYAF,0,-6.1,24.5,13,-63,30.7,19.2,Minimum,Minimum,Correct TS,Correct TS
EZEDEU,0,-19.3,-5.5,4.3,-63,13.8,23.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EZEKEB,0,-23.2,-16.1,-10,-63,7.1,13.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EZEVUC,0,-0.6,-8.1,39.9,-63,-7.5,40.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EZEWAI,0,-2.5,-11.1,14.9,-63,-8.6,17.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EZIHOM,0,-3.1,-10.8,11.3,-63,-7.7,14.4,Minimum,Minimum,Incorrect TS,Correct TS
EZISIQ,0,-2.6,16.6,14.4,-63,19.3,17,Minimum,Minimum,Correct TS,Correct TS
EZIVUG,0,-7.7,11,11.4,-63,18.8,19.1,Minimum,Minimum,Correct TS,Correct TS
EZIXUI,0,-15.4,-2.5,-6.1,-63,12.9,9.2,Minimum,Minimum,Correct TS,Correct TS
EZIYES,0,-3.9,-5.7,13.5,-63,-1.8,17.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EZOHUX,0,-4,-10.8,14.3,-63,-6.8,18.2,Not Minimum,Minimum,Incorrect TS,Correct TS
EZOLOW,0,-10.1,-8.9,12.2,-63,1.2,22.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EZOMAJ01,0,-11.4,-4.1,11.6,-63,7.3,23,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EZOMEM,0,-14.2,4.9,4,-63,19.1,18.2,Minimum,Minimum,Correct TS,Correct TS
EZONAJ,0,-14.4,-11.5,11.5,-63,2.9,25.9,Not Minimum,Minimum,Incorrect TS,Correct TS
EZOREQ,0,-0.9,-12.2,-53.7,-63,-11.3,-52.7,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EZOROC,0,-3.9,19.2,-4.1,-63,23.1,-0.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
EZOTUJ,0,0.2,-14.4,14.2,-63,-14.4,14.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EZOWEX,0,-26.9,-16,-17,-63,10.9,9.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EZOWIB,0,-26.6,-17.8,-15.2,-63,8.8,11.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EZUHAK,0,3.9,-10.2,26.7,-63,-10.2,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
EZUKEQ,0,-2.9,13.9,13.8,-63,16.9,16.7,Minimum,Minimum,Correct TS,Correct TS
EZUNIX,0,-6.7,-5.6,12.2,-63,1.1,18.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EZUWIG,0,-4.1,-10.8,14.2,-63,-6.7,18.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EZUWUS,0,-3.4,-9.3,13.6,-63,-5.9,17.1,Minimum,Minimum,Incorrect TS,Correct TS
EZUYEF,0,0,27.4,13.2,-63,27.4,13.2,Minimum,Not Minimum,Correct TS,Correct TS
FABDOD,0,-2.1,-9.4,17.1,-63,-7.3,19.1,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
FABFIA,0,-15.7,3,-9.8,-63,18.7,5.9,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
FABFIX,0,-15,8.6,10.7,-63,23.7,25.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
FABFUJ01,0,-12.1,-10.7,8.3,-63,1.4,20.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
FABFUM,0,-7.1,-11.2,13.9,-63,-4.1,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
FABGAT,0,-6.3,-10.1,12.6,-63,-3.8,18.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
FABGEX,0,-6.5,-9.4,13.8,-63,-2.9,20.3,Minimum,Minimum,Incorrect TS,Correct TS
FABPIL,0,-5.8,-3.6,7.4,-63,2.3,13.3,Minimum,Minimum,Incorrect TS,Correct TS
FABQEI,0,-3.6,-0.1,8.2,-63,3.5,11.8,Minimum,Minimum,Incorrect TS,Correct TS
FABRAD,0,-1.7,20.9,13.4,-63,22.6,15.1,Minimum,Minimum,Correct TS,Correct TS
